STATION;STATION_NAME;ELEVATION;LATITUDE;LONGITUDE;DATE;PRCP;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMAX;Measurement Flag;Quality Flag;Source Flag;Time of Observation;TMIN;Measurement Flag;Quality Flag;Source Flag;Time of Observation
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030522;0;T; ;s;9999;295; ; ;s;9999;183; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030523;37; ; ;s;9999;249; ; ;s;9999;188; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030524;0; ; ;s;9999;287; ; ;s;9999;144; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030525;0; ; ;s;9999;303; ; ;s;9999;181; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030526;0;T; ;s;9999;275; ; ;s;9999;206; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030527;0; ; ;s;9999;298; ; ;s;9999;170; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030528;146; ; ;s;9999;275; ; ;s;9999;179; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030529;0; ; ;s;9999;317; ; ;s;9999;149; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030530;0; ; ;s;9999;283; ; ;s;9999;180; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030531;0; ; ;s;9999;297; ; ;s;9999;175; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030601;0; ; ;s;9999;324; ; ;s;9999;197; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030602;0; ; ;s;9999;306; ; ;s;9999;209; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030603;0; ; ;s;9999;295; ; ;s;9999;180; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030604;10; ; ;s;9999;317; ; ;s;9999;182; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030605;3; ; ;s;9999;310; ; ;s;9999;204; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030606;0; ; ;s;9999;358; ; ;s;9999;158; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030607;0; ; ;s;9999;311; ; ;s;9999;218; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030608;21; ; ;s;9999;264; ; ;s;9999;190; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030609;182; ; ;s;9999;230; ; ;s;9999;166; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030610;0; ; ;s;9999;267; ; ;s;9999;164; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030611;0;T; ;s;9999;234; ; ;s;9999;147; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030612;0;T; ;s;9999;216; ; ;s;9999;157; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030613;0;T; ;s;9999;247; ; ;s;9999;147; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030614;0;T; ;s;9999;296; ; ;s;9999;168; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030615;0; ; ;s;9999;297; ; ;s;9999;169; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030616;0; ; ;s;9999;332; ; ;s;9999;190; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030617;0; ; ;s;9999;341; ; ;s;9999;227; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030618;0; ; ;s;9999;327; ; ;s;9999;235; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030619;0; ; ;s;9999;315; ; ;s;9999;220; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030620;0; ; ;s;9999;349; ; ;s;9999;234; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030621;0; ; ;s;9999;323; ; ;s;9999;228; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030622;0; ; ;s;9999;282; ; ;s;9999;212; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030623;97; ; ;s;9999;312; ; ;s;9999;202; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030624;0; ; ;s;9999;350; ; ;s;9999;228; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030625;0; ; ;s;9999;347; ; ;s;9999;195; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030626;50; ; ;s;9999;305; ; ;s;9999;210; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030627;225; ; ;s;9999;325; ; ;s;9999;193; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030628;73; ; ;s;9999;306; ; ;s;9999;183; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030629;0; ; ;s;9999;322; ; ;s;9999;187; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030630;0; ; ;s;9999;309; ; ;s;9999;230; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030701;0; ; ;s;9999;329; ; ;s;9999;194; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030702;0;T; ;s;9999;294; ; ;s;9999;232; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030703;0;T; ;s;9999;315; ; ;s;9999;217; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030704;0; ; ;s;9999;367; ; ;s;9999;229; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030705;0; ; ;s;9999;340; ; ;s;9999;257; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030706;256; ; ;s;9999;297; ; ;s;9999;190; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030707;10; ; ;s;9999;280; ; ;s;9999;195; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030708;1; ; ;s;9999;311; ; ;s;9999;183; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030709;0; ; ;s;9999;314; ; ;s;9999;207; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030710;0; ; ;s;9999;326; ; ;s;9999;209; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030711;0; ; ;s;9999;337; ; ;s;9999;209; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030712;0; ; ;s;9999;298; ; ;s;9999;235; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030713;0; ; ;s;9999;267; ; ;s;9999;204; ; ;s;9999
GHCND:CHM00054511;BEIJING CH;55;39.933;116.283;20030714;0;T; ;s;9999;276; ; ;s;9999;215; ; ;s;9999
